id,title,organizational unit,date,iranTime
1248,متقاضی تعهد شرکت,CU,2022-02-20,01/12/1400
1249,خطای کد ملی,CU,2022-02-20,01/12/1400
1250,خطای افزایش,CU,2022-02-20,01/12/1400
1251,تایید هزینه انشعاب,CU,2022-02-20,01/12/1400
1252,نصب درخواست,CU,2022-02-21,02/12/1400
1253,افزایش آمپراژ,CU,2022-02-21,02/12/1400
1254,عدم وجود کنتور,CU,2022-02-21,02/12/1400
1255,تغییرات قدرت درخواست,CU,2022-02-21,02/12/1400
1256,عدم امکان ایجاد سابقه,CU,2022-02-21,02/12/1400
1257,خرید کنتور توسط متقاضی,CU,2022-02-21,02/12/1400
1258,کاهش آمپراژ,CU,2022-02-21,02/12/1400
1259,نصب کنتور,CU,2022-02-21,02/12/1400
1260,عدم ثبت اطلاعات تجهیز,CU,2022-02-21,02/12/1400
1261,تغییر نام,CU,2022-02-22,03/12/1400
1262,عدم ثبت اطلاعات تجهیز,CU,2022-02-22,03/12/1400
1263,بازگشت وجه کنتور,CU,2022-02-22,03/12/1400
1264,خطای کد ملی,CU,2022-02-22,03/12/1400
1265,ثبت نماینده,CU,2022-02-22,03/12/1400
1266,بازگشت وجه انشعاب,CU,2022-02-22,03/12/1400
1267,سامانه سنم,CU,2022-02-22,03/12/1400
1268,عدم موجودی کنتور,CU,2022-02-22,03/12/1400
1269,توافق نامه,CU,2022-02-22,03/12/1400
1270,عدم ثبت کد ملی,CU,2022-02-22,03/12/1400
1271,درخواست کابل,CU,2022-02-22,03/12/1400
1272,خطا درخواست,CU,2022-02-22,03/12/1400
1273,جابه جایی کنتور,CU,2022-02-23,04/12/1400
1274,کنتور,CU,2022-02-23,04/12/1400
1275,کاهش آمپراژ,CU,2022-02-23,04/12/1400
1276,کمیسون,CU,2022-02-23,04/12/1400
1277,تغییر کد ملی,CU,2022-02-23,04/12/1400
1278,عدم نمایش کنتور خریداری شده,CU,2022-02-23,04/12/1400
1279,تعویض لوازم,CU,2022-02-23,04/12/1400
1280,عدم ثبت کد ملی,CU,2022-02-23,04/12/1400
1281,تایید معافیت کنتور,CU,2022-02-24,05/12/1400
1282,بازگشت هزینه کنتور,CU,2022-02-24,05/12/1400
1283,خطای ثبت سابقه,CU,2022-02-24,05/12/1400
1284,جابه جایی کنتور,CU,2022-02-24,05/12/1400
1285,بازگشت هزینه کنتور,CU,2022-02-24,05/12/1400
1286,ثبت نماینده,CU,2022-02-24,05/12/1400
1287,تایید خرید کنتور,CU,2022-02-25,06/12/1400
1288,درخواست تغییر نام انشعاب درخواستی,CU,2022-02-25,06/12/1400
1289,حذف درخواست,CU,2022-02-25,06/12/1400
1290,عدم ثبت اطلاعات تجهیز,CU,2022-02-25,06/12/1400
1291,جابه جایی,CU,2022-02-25,06/12/1400
1292,جابه جایی کنتور,CU,2022-02-25,06/12/1400
1293,تغییرات قدرت,CU,2022-02-25,06/12/1400
1294,عدم تغییر در پیمانکار,CU,2022-02-25,06/12/1400
1295,تغییر نام,CU,2022-02-25,06/12/1400
1296,بازگشت وجه انشعاب,CU,2022-02-25,06/12/1400
1297,جمع آوری ,CU,2022-02-25,06/12/1400
1298,توافق نامه,CU,2022-02-26,07/12/1400
1299,عدم امکان ایجاد سابقه,CU,2022-02-26,07/12/1400
1300,تغییر نام در درخواست انشعاب,CU,2022-02-26,07/12/1400
1301,قیمت تجهیزات,CU,2022-02-26,07/12/1400
1302,جابه جایی,CU,2022-02-26,07/12/1400
1303,تغییر نام,CU,2022-02-27,08/12/1400
1304,شماره درخواست,CU,2022-02-27,08/12/1400
1305,شماره درخواست,CU,2022-02-27,08/12/1400
1306,فیش هزینه انشعاب,CU,2022-02-27,08/12/1400
1307,خطای تلفن,CU,2022-02-27,08/12/1400
1308,عدم موجودی کنتور,CU,2022-02-27,08/12/1400
1309,لینک ارسال مستقیم,CU,2022-02-27,08/12/1400
1310,تایید خرید کنتور,CU,2022-02-28,09/12/1400
1311,خطای کد ملی,CU,2022-02-28,09/12/1400
1312,ثبت معافیت,CU,2022-02-28,09/12/1400
1313,فیش هزینه انشعاب,CU,2022-02-28,09/12/1400
1314,کمسیون طرح,CU,2022-02-28,09/12/1400
1315,عدم ثبت درخواست,CU,2022-02-28,09/12/1400
1316,خرید کنتور توسط متقاضی,CU,2022-02-28,09/12/1400
1317,عدم امکان تغییر درخواست,CU,2022-02-28,09/12/1400
1318,کاهش آمپراژ,CU,2022-03-01,10/12/1400
1319,متقاضی تعهد شرکت,CU,2022-03-01,10/12/1400
1320,نصب کنتور,CU,2022-03-01,10/12/1400
1321,جابه جایی کنتور,CU,2022-03-01,10/12/1400
1322,بازگشت از خرید کنتور,CU,2022-03-01,10/12/1400
1323,شماره درخواست,CU,2022-03-02,11/12/1400
1324,بازگشت وجه انشعاب,CU,2022-03-02,11/12/1400
1325,درخواست کابل,CU,2022-03-02,11/12/1400
1326,جمع آوری هزینه انشعاب,CU,2022-03-02,11/12/1400
1327,خطای افزایش,CU,2022-03-02,11/12/1400
1328,عدم ثبت کد ملی,CU,2022-03-02,11/12/1400
1329,اصلاح هزینه انشعاب,CU,2022-03-02,11/12/1400
1330,خطا در کد ملی,CU,2022-03-02,11/12/1400
1331,بایگانی درخواست,CU,2022-03-02,11/12/1400
1332,درخواست تغییر نام,CU,2022-03-02,11/12/1400
1333,خرید کنتور توسط متقاضی,CU,2022-03-02,11/12/1400
1334,تغییر نام در درخواست انشعاب,CU,2022-03-03,12/12/1400
1335,جمع آوری هزینه انشعاب,CU,2022-03-03,12/12/1400
1336,فیش,CU,2022-03-03,12/12/1400
1337,جابه جایی کنتور,CU,2022-03-03,12/12/1400
1338,عدم تغییر در پیمانکار,CU,2022-03-03,12/12/1400
1339,اصلاح هزینه انشعاب,CU,2022-03-04,13/12/1400
1340,تغییرات قدرت درخواست,CU,2022-03-04,13/12/1400
1341,درخواست کابل,CU,2022-03-04,13/12/1400
1342,لینک خرید مستقیم,CU,2022-03-04,13/12/1400
1343,سامانه سنم,CU,2022-03-04,13/12/1400
1344,ثبت,CU,2022-03-04,13/12/1400
1345,درخواست کابل,CU,2022-03-05,14/12/1400
1346,خرید کنتور توسط متقاضی,CU,2022-03-05,14/12/1400
1347,تغییرات قدرت درخواست,CU,2022-03-05,14/12/1400
1348,درخواست معافیت در خرید مستقیم,CU,2022-03-05,14/12/1400
1349,لینک ارسال مستقیم,CU,2022-03-05,14/12/1400
1350,لینک ارسال مستقیم,CU,2022-03-05,14/12/1400
1351,بایگانی درخواست,CU,2022-03-05,14/12/1400
1352,کنتور خریداری شده,CU,2022-03-05,14/12/1400
1353,متقاضی خرید مستقیم,CU,2022-03-06,15/12/1400
1354,افزایش آمپراژ,CU,2022-03-06,15/12/1400
1355,جمع آوری هزینه انشعاب,CU,2022-03-06,15/12/1400
1356,خرید کنتور,CU,2022-03-06,15/12/1400
1357,فیش هزینه انشعاب,CU,2022-03-06,15/12/1400
1358,نصب درخواست,CU,2022-03-06,15/12/1400
1359,جمع آوری,CU,2022-03-06,15/12/1400
1360,خطای ایجاد سابقه,CU,2022-03-06,15/12/1400
1361,انشعاب,CU,2022-03-07,16/12/1400
1362,تغییرات,CU,2022-03-07,16/12/1400
1363,کمسیون طرح,CU,2022-03-07,16/12/1400
1364,خطا درخواست,CU,2022-03-07,16/12/1400
1365,کابل انشعاب,CU,2022-03-07,16/12/1400
1366,نصب کنتور,CU,2022-03-07,16/12/1400
1367,عدم نمایش کنتور خریداری شده,CU,2022-03-07,16/12/1400
1368,عدم نمایش کنتور خریداری شده,CU,2022-03-07,16/12/1400
1369,حذف درخواست,CU,2022-03-07,16/12/1400
1370,خطای تلفن,CU,2022-03-08,17/12/1400
1371,عدم وجود کنتور,CU,2022-03-08,17/12/1400
1372,تغییر نام,CU,2022-03-08,17/12/1400
1373,خطا در کد ملی,CU,2022-03-08,17/12/1400
1374,سامانه سنم,CU,2022-03-08,17/12/1400
1375,موجودی ناحیه,CU,2022-03-08,17/12/1400
1376,شماره درخواست,CU,2022-03-08,17/12/1400
1377,درخواست کابل,CU,2022-03-08,17/12/1400
1378,جابه جایی کنتور,CU,2022-03-08,17/12/1400
1379,تایید خرید,CU,2022-03-09,18/12/1400
1380,حذف درخواست,CU,2022-03-09,18/12/1400
1381,تغییرات درخواست,CU,2022-03-09,18/12/1400
1382,جمع آوری درخواست,CU,2022-03-09,18/12/1400
1383,عدم ثبت افزایش آمپراژ,CU,2022-03-09,18/12/1400
1384,عدم وجود کنتور,CU,2022-03-09,18/12/1400
1385,عدم امکان تغییر درخواست,CU,2022-03-09,18/12/1400
1386,سامانه سنم,CU,2022-03-09,18/12/1400
1387,جابه جایی کنتور,CU,2022-03-09,18/12/1400
1388,ثبت نماینده,CU,2022-03-09,18/12/1400
1389,عدم ثبت افزایش آمپراژ,CU,2022-03-09,18/12/1400
1390,کمیسیون,CU,2022-03-10,19/12/1400
1391,ثبت,CU,2022-03-10,19/12/1400
1392,سامانه سنم,CU,2022-03-10,19/12/1400
1393,تغییرات قدرت,CU,2022-03-10,19/12/1400
1394,ثبت,CU,2022-03-10,19/12/1400
1395,فیش هزینه انشعاب,CU,2022-03-11,20/12/1400
1396,درخواست,CU,2022-03-11,20/12/1400
1397,متقاضی خرید مستقیم,CU,2022-03-11,20/12/1400
1398,ثبت معافیت,CU,2022-03-11,20/12/1400
1399,تایید معافیت کنتور,CU,2022-03-11,20/12/1400
1400,عدم موجودی کنتور,CU,2022-03-11,20/12/1400
1401,ثبت نماینده,CU,2022-03-11,20/12/1400
1402,خطای افزایش,CU,2022-03-11,20/12/1400
1403,تغییر کد ملی,CU,2022-03-11,20/12/1400
1404,متقاضی خرید مستقیم,CU,2022-03-11,20/12/1400
1405,تغییر کد ملی,CU,2022-03-12,21/12/1400
1406,تایید خرید کنتور,CU,2022-03-13,22/12/1400
1407,عدم امکان ارسال لینک,CU,2022-03-14,23/12/1400
1408,خطای افزایش,CU,2022-03-14,23/12/1400
1409,جابه جایی,CU,2022-03-14,23/12/1400
1410,جمع آوری هزینه انشعاب,CU,2022-03-14,23/12/1400
1411,جابه جایی,CU,2022-03-15,24/12/1400
1412,تایید معافیت,CU,2022-03-15,24/12/1400
1413,درخواست تغییر نام انشعاب درخواستی,CU,2022-03-15,24/12/1400
1414,کمیسیون,CU,2022-03-15,24/12/1400
1415,تایید خرید کنتور,CU,2022-03-15,24/12/1400
1416,عدم ثبت کد ملی درخواست,CU,2022-03-15,24/12/1400
1417,تغییرات قدرت درخواست,CU,2022-03-15,24/12/1400
1418,حذف درخواست,CU,2022-03-16,25/12/1400
1419,تغییر کد ملی,CU,2022-03-16,25/12/1400
1420,ثبت,CU,2022-03-16,25/12/1400
1421,بایگانی درخواست,CU,2022-03-16,25/12/1400
1422,کمیسون,CU,2022-03-16,25/12/1400
1423,درخواست تغییر نام انشعاب درخواستی,CU,2022-03-16,25/12/1400
1424,عدم ثبت کد ملی درخواست,CU,2022-03-16,25/12/1400
1425,تایید هزینه انشعاب,CU,2022-03-16,25/12/1400
1426,تغییر نام درخواست,CU,2022-03-16,25/12/1400
1427,تغییرات درخواست,CU,2022-03-16,25/12/1400
1428,نصب درخواست,CU,2022-03-16,25/12/1400
1429,درخواست,CU,2022-03-17,26/12/1400
1430,درخواست کابل,CU,2022-03-17,26/12/1400
1431,بازگشت وجه کنتور,CU,2022-03-17,26/12/1400
1432,کد ملی اشتباه,CU,2022-03-17,26/12/1400
1433,کابل انشعاب,CU,2022-03-17,26/12/1400
1434,تایید معافیت کنتور,CU,2022-03-17,26/12/1400
1435,تغییرات درخواست,CU,2022-03-17,26/12/1400
1436,تایید خرید کنتور,CU,2022-03-17,26/12/1400
1437,خطای تلفن,CU,2022-03-17,26/12/1400
1438,فیش هزینه انشعاب,CU,2022-03-17,26/12/1400
1439,تایید معافیت,CU,2022-03-18,27/12/1400
1440,خطای کد ملی,CU,2022-03-18,27/12/1400
1441,اختصاص کابل,CU,2022-03-18,27/12/1400
1442,بازگشت از خرید کنتور,CU,2022-03-18,27/12/1400
1443,بایگانی درخواست,CU,2022-03-19,28/12/1400
1444,جابه جایی,CU,2022-03-19,28/12/1400
1445,عدم تغییر در پیمانکار,CU,2022-03-19,28/12/1400
1446,عدم امکان ارسال به نصب,CU,2022-03-19,28/12/1400
1447,متقاضی تعهد شرکت,CU,2022-03-19,28/12/1400
1448,عدم وجود کنتور,CU,2022-03-19,28/12/1400
1449,کمسیون طرح,CU,2022-03-19,28/12/1400
1450,عدم نمایش کنتور خریداری شده,CU,2022-03-19,28/12/1400
1451,تغییر نماینده,CU,2022-03-20,29/12/1400
1452,عدم وجود کنتور,CU,2022-03-20,29/12/1400
1453,تایید خرید کنتور,CU,2022-03-20,29/12/1400
1454,اختصاص کابل,CU,2022-03-20,29/12/1400
1455,کمسیون طرح,CU,2022-03-20,29/12/1400
1456,تغییر نام درخواست,CU,2022-03-20,29/12/1400
1457,تغییر شماره تلفن,CU,2022-03-21,01/01/1401
1458,خرید کنتور توسط متقاضی,CU,2022-03-21,01/01/1401
1459,تایید هزینه انشعاب,CU,2022-03-21,01/01/1401
1460,ثبت نماینده,CU,2022-03-21,01/01/1401
1461,اصلاح هزینه انشعاب,CU,2022-03-21,01/01/1401
1462,تایید خرید,CU,2022-03-21,01/01/1401
1463,خرید کنتور,CU,2022-03-22,02/01/1401
1464,درخواست خرید,CU,2022-03-22,02/01/1401
1465,تغییرات,CU,2022-03-22,02/01/1401
1466,متقاضی تعهد شرکت,CU,2022-03-22,02/01/1401
1467,متقاضی تعهد شرکت,CU,2022-03-22,02/01/1401
1468,عدم امکان ارسال به نصب,CU,2022-03-23,03/01/1401
1469,جا به جایی انشعاب,CU,2022-03-23,03/01/1401
1470,بازگشت وجه کنتور,CU,2022-03-23,03/01/1401
1471,تایید هزینه انشعاب,CU,2022-03-23,03/01/1401
1472,خرید کنتور توسط متقاضی,CU,2022-03-23,03/01/1401
1473,متقاضی خرید مستقیم,CU,2022-03-23,03/01/1401
1474,جمع آوری,CU,2022-03-23,03/01/1401
1475,درخواست تغییر نام,CU,2022-03-23,03/01/1401
1476,تغییر در درخواست,CU,2022-03-24,04/01/1401
1477,جابه جایی,CU,2022-03-24,04/01/1401
1478,تغییرات درخواست,CU,2022-03-24,04/01/1401
1479,ثبت,CU,2022-03-24,04/01/1401
1480,تایید خرید,CU,2022-03-25,05/01/1401
1481,موجودی ناحیه,CU,2022-03-25,05/01/1401
1482,کاهش آمپراژ,CU,2022-03-25,05/01/1401
1483,اختصاص کابل,CU,2022-03-25,05/01/1401
1484,عدم ثبت درخواست,CU,2022-03-25,05/01/1401
1485,ثبت معافیت,CU,2022-03-26,06/01/1401
1486,جا به جایی انشعاب,CU,2022-03-26,06/01/1401
1487,جمع آوری ,CU,2022-03-26,06/01/1401
1488,تغییرات,CU,2022-03-26,06/01/1401
1489,بازگشت وجه انشعاب,CU,2022-03-26,06/01/1401
1490,تایید خرید کنتور,CU,2022-03-26,06/01/1401
1491,عدم موجودی کنتور,CU,2022-03-26,06/01/1401
1492,نصب کنتور,CU,2022-03-26,06/01/1401
1493,اصلاح هزینه انشعاب,CU,2022-03-26,06/01/1401
1494,عدم امکان ایجاد سابقه,CU,2022-03-27,07/01/1401
1495,معافیت خرید مستقیم,CU,2022-03-27,07/01/1401
1496,کنتور,CU,2022-03-27,07/01/1401
1497,بایگانی درخواست,CU,2022-03-27,07/01/1401
1498,درخواست تایید خرید,CU,2022-03-27,07/01/1401
1499,جمع آوری درخواست,CU,2022-03-27,07/01/1401
1500,تغییر نام درخواست,CU,2022-03-27,07/01/1401
1501,ارسال لینک مستقیم,CU,2022-03-27,07/01/1401
1502,عدم ثبت افزایش آمپراژ,CU,2022-03-27,07/01/1401
1503,درخواست کابل,CU,2022-03-27,07/01/1401
1504,ثبت نماینده,CU,2022-03-27,07/01/1401
1505,ثبت معافیت,CU,2022-03-28,08/01/1401
1506,تغییرات درخواست,CU,2022-03-28,08/01/1401
1507,درخواست,CU,2022-03-28,08/01/1401
1508,درخواست خرید,CU,2022-03-28,08/01/1401
1509,خرید کنتور,CU,2022-03-28,08/01/1401
1510,جمع آوری درخواست,CU,2022-03-28,08/01/1401
1511,عدم ثبت افزایش آمپراژ,CU,2022-03-28,08/01/1401
1512,خطای عدم وجود اطلاعات,CU,2022-03-28,08/01/1401
1513,اصلاح هزینه انشعاب,CU,2022-03-29,09/01/1401
1514,کنتور,CU,2022-03-29,09/01/1401
1515,خرید کنتور,CU,2022-03-29,09/01/1401
1516,ارسال لینک مستقیم,CU,2022-03-29,09/01/1401
1517,درخواست تغییر نام,CU,2022-03-30,10/01/1401
1518,بازگشت وجه کنتور,CU,2022-03-30,10/01/1401
1519,درخواست تغییر نام انشعاب درخواستی,CU,2022-03-30,10/01/1401
1520,بازگشت وجه انشعاب,CU,2022-03-30,10/01/1401
1521,معافیت خرید مستقیم,CU,2022-03-30,10/01/1401
1522,درخواست معافیت در خرید مستقیم,CU,2022-03-30,10/01/1401
1523,تغییرات قدرت درخواست,CU,2022-03-30,10/01/1401
1524,کمیسون,CU,2022-03-30,10/01/1401
1525,لینک ارسال مستقیم,CU,2022-03-30,10/01/1401
1526,کنتور,CU,2022-03-31,11/01/1401
1527,جمع آوری ,CU,2022-03-31,11/01/1401
1528,کاهش آمپراژ,CU,2022-03-31,11/01/1401
1529,خطا درخواست,CU,2022-03-31,11/01/1401
1530,عدم ثبت درخواست,CU,2022-03-31,11/01/1401
1531,فیش هزینه انشعاب,CU,2022-03-31,11/01/1401
1532,تغییرات,CU,2022-03-31,11/01/1401
1533,خطای ارسال نصب,CU,2022-03-31,11/01/1401
1534,عدم ثبت درخواست,CU,2022-04-01,12/01/1401
1535,تغییر نماینده,CU,2022-04-01,12/01/1401
1536,افزایش آمپراژ,CU,2022-04-01,12/01/1401
1537,خطا در کد ملی,CU,2022-04-01,12/01/1401
1538,جمع آوری,CU,2022-04-01,12/01/1401
1539,خطای ایجاد سابقه,CU,2022-04-02,13/01/1401
1540,تغییرات,CU,2022-04-02,13/01/1401
1541,جمع آوری ,CU,2022-04-02,13/01/1401
1542,تایید خرید کنتور,CU,2022-04-02,13/01/1401
1543,خطای افزایش,CU,2022-04-02,13/01/1401
1544,نصب کنتور,CU,2022-04-02,13/01/1401
1545,عدم ثبت درخواست,CU,2022-04-02,13/01/1401
1546,جمع آوری درخواست,CU,2022-04-02,13/01/1401
1547,بازگشت هزینه کنتور,CU,2022-04-02,13/01/1401
1548,فیش هزینه انشعاب,CU,2022-04-02,13/01/1401
1549,نصب کنتور,CU,2022-04-02,13/01/1401
1550,عدم امکان ارسال به نصب,CU,2022-04-02,13/01/1401
1551,عدم امکان ارسال به نصب,CU,2022-04-02,13/01/1401
1552,جابه جایی,CU,2022-04-02,13/01/1401
1553,جمع آوری درخواست,CU,2022-04-02,13/01/1401
1554,درخواست تایید خرید,CU,2022-04-03,14/01/1401
1555,عدم امکان ارسال لینک,CU,2022-04-03,14/01/1401
1556,جا به جایی انشعاب,CU,2022-04-03,14/01/1401
1557,جمع آوری,CU,2022-04-03,14/01/1401
1558,درخواست خرید,CU,2022-04-03,14/01/1401
1559,اختصاص کابل,CU,2022-04-03,14/01/1401
1560,درخواست خرید,CU,2022-04-03,14/01/1401
1561,تغییر شماره تلفن,CU,2022-04-03,14/01/1401
1562,تغییر نام انشعاب,CU,2022-04-03,14/01/1401
1563,عدم امکان ارسال لینک,CU,2022-04-03,14/01/1401
1564,تعویض لوازم,CU,2022-04-03,14/01/1401
1565,نصب درخواست,CU,2022-04-03,14/01/1401
1566,شماره درخواست,CU,2022-04-04,15/01/1401
1567,درخواست تغییر نام,CU,2022-04-04,15/01/1401
1568,نصب درخواست,CU,2022-04-04,15/01/1401
1569,عدم امکان ارسال لینک,CU,2022-04-04,15/01/1401
1570,تایید هزینه انشعاب,CU,2022-04-04,15/01/1401
1571,درخواست تایید خرید,CU,2022-04-04,15/01/1401
1572,کنتور,CU,2022-04-04,15/01/1401
1573,تغییرات درخواست,CU,2022-04-04,15/01/1401
1574,خطای عدم وجود اطلاعات,CU,2022-04-04,15/01/1401
1575,کمیسون,CU,2022-04-04,15/01/1401
1576,تغییر در درخواست,CU,2022-04-04,15/01/1401
1577,جمع آوری,CU,2022-04-04,15/01/1401
1578,خطا درخواست,CU,2022-04-05,16/01/1401
1579,خطا در کد ملی,CU,2022-04-05,16/01/1401
1580,افزایش آمپراژ,CU,2022-04-05,16/01/1401
1581,ثبت نماینده,CU,2022-04-05,16/01/1401
1582,تغییر کد ملی,CU,2022-04-05,16/01/1401
1583,بایگانی درخواست,CU,2022-04-06,17/01/1401
1584,خطا درخواست,CU,2022-04-06,17/01/1401
1585,کنتور خریداری شده,CU,2022-04-06,17/01/1401
1586,تایید خرید,CU,2022-04-06,17/01/1401
1587,درخواست خرید,CU,2022-04-06,17/01/1401
1588,عدم تغییر در پیمانکار,CU,2022-04-06,17/01/1401
1589,عدم ثبت کد ملی درخواست,CU,2022-04-07,18/01/1401
1590,عدم امکان ارسال لینک,CU,2022-04-07,18/01/1401
1591,عدم امکان تغییر درخواست,CU,2022-04-07,18/01/1401
1592,توافق نامه,CU,2022-04-07,18/01/1401
1593,متقاضی خرید مستقیم,CU,2022-04-07,18/01/1401
1594,درخواست خرید,CU,2022-04-07,18/01/1401
1595,لینک خرید مستقیم,CU,2022-04-07,18/01/1401
1596,تغییرات,CU,2022-04-08,19/01/1401
1597,خطای افزایش,CU,2022-04-08,19/01/1401
1598,کاهش آمپراژ,CU,2022-04-08,19/01/1401
1599,کد ملی اشتباه,CU,2022-04-08,19/01/1401
1600,خطای ایجاد سابقه,CU,2022-04-08,19/01/1401
1601,عدم نمایش کنتور خریداری شده,CU,2022-04-09,20/01/1401
1602,درخواست کابل,CU,2022-04-09,20/01/1401
1603,خطای افزایش,CU,2022-04-09,20/01/1401
1604,لینک خرید مستقیم,CU,2022-04-09,20/01/1401
1605,ثبت نماینده,CU,2022-04-09,20/01/1401
1606,بازگشت از خرید کنتور,CU,2022-04-09,20/01/1401
1607,درخواست تغییر نام انشعاب درخواستی,CU,2022-04-09,20/01/1401
1608,تغییر نام انشعاب,CU,2022-04-10,21/01/1401
1609,عدم ثبت درخواست,CU,2022-04-10,21/01/1401
1610,معافیت خرید مستقیم,CU,2022-04-10,21/01/1401
1611,تایید خرید کنتور,CU,2022-04-10,21/01/1401
1612,تغییر شماره تلفن,CU,2022-04-11,22/01/1401
1613,تغییر نام در درخواست انشعاب,CU,2022-04-11,22/01/1401
1614,تغییر کد ملی,CU,2022-04-11,22/01/1401
1615,عدم ثبت کد ملی درخواست,CU,2022-04-11,22/01/1401
1616,درخواست تغییر نام انشعاب درخواستی,CU,2022-04-11,22/01/1401
1617,ثبت نماینده,CU,2022-04-11,22/01/1401
1618,خطای عدم وجود اطلاعات,CU,2022-04-11,22/01/1401
1619,عدم ثبت درخواست,CU,2022-04-11,22/01/1401
1620,درخواست خرید,CU,2022-04-12,23/01/1401
1621,تغییر نام انشعاب,CU,2022-04-12,23/01/1401
1622,بازگشت وجه انشعاب,CU,2022-04-12,23/01/1401
1623,معافیت در پرداخت هزینه انشعاب,CU,2022-04-12,23/01/1401
1624,ثبت نماینده,CU,2022-04-12,23/01/1401
1625,تغییر نام انشعاب,CU,2022-04-12,23/01/1401
1626,تغییرات قدرت درخواست,CU,2022-04-12,23/01/1401
1627,معافیت,CU,2022-04-12,23/01/1401
1628,تغییر نام,CU,2022-04-13,24/01/1401
1629,تغییر نام درخواست,CU,2022-04-13,24/01/1401
1630,خطا درخواست,CU,2022-04-13,24/01/1401
1631,عدم ثبت افزایش آمپراژ,CU,2022-04-13,24/01/1401
1632,بازگشت وجه کنتور,CU,2022-04-13,24/01/1401
1633,کمیسیون,CU,2022-04-13,24/01/1401
1634,جا به جایی انشعاب,CU,2022-04-13,24/01/1401
1635,خطای ثبت سابقه,CU,2022-04-13,24/01/1401
1636,تایید هزینه انشعاب,CU,2022-04-14,25/01/1401
1637,فیش,CU,2022-04-14,25/01/1401
1638,عدم ثبت کد ملی درخواست,CU,2022-04-14,25/01/1401
1639,کمیسیون,CU,2022-04-15,26/01/1401
1640,نصب کنتور,CU,2022-04-15,26/01/1401
1641,درخواست تایید خرید,CU,2022-04-15,26/01/1401
1642,خطای افزایش,CU,2022-04-15,26/01/1401
1643,عدم وجود کنتور,CU,2022-04-15,26/01/1401
1644,نصب درخواست,CU,2022-04-15,26/01/1401
1645,عدم نمایش کنتور خریداری شده,CU,2022-04-15,26/01/1401
1646,خطا درخواست,CU,2022-04-16,27/01/1401
1647,کمیسیون,CU,2022-04-16,27/01/1401
1648,عدم امکان ثبت درخواست تعویض,CU,2022-04-16,27/01/1401
1649,عدم امکان تغییر درخواست,CU,2022-04-16,27/01/1401
1650,تغییرات قدرت درخواست,CU,2022-04-16,27/01/1401
1651,کمیسون,CU,2022-04-16,27/01/1401
1652,عدم موجودی کنتور,CU,2022-04-16,27/01/1401
1653,خطای عدم وجود اطلاعات,CU,2022-04-16,27/01/1401
1654,کد ملی اشتباه,CU,2022-04-16,27/01/1401
1655,ثبت,CU,2022-04-17,28/01/1401
1656,تغییر نماینده,CU,2022-04-17,28/01/1401
1657,درخواست خرید,CU,2022-04-17,28/01/1401
1658,معافیت,CU,2022-04-17,28/01/1401
1659,افزایش آمپراژ,CU,2022-04-17,28/01/1401
1660,جا به جایی انشعاب,CU,2022-04-17,28/01/1401
1661,تایید هزینه انشعاب,CU,2022-04-18,29/01/1401
1662,درخواست تغییر نام,CU,2022-04-18,29/01/1401
1663,لینک خرید مستقیم,CU,2022-04-18,29/01/1401
1664,جابه جایی,CU,2022-04-19,30/01/1401
1665,نصب درخواست,CU,2022-04-19,30/01/1401
1666,خطای افزایش,CU,2022-04-19,30/01/1401
1667,خرید کنتور توسط متقاضی,CU,2022-04-19,30/01/1401
1668,خطای افزایش,CU,2022-04-19,30/01/1401
1669,عدم تغییر در پیمانکار,CU,2022-04-19,30/01/1401
1670,جابه جایی کنتور,CU,2022-04-20,31/01/1401
1671,کمسیون طرح,CU,2022-04-20,31/01/1401
1672,جمع آوری هزینه انشعاب,CU,2022-04-20,31/01/1401
1673,عدم تغییر در پیمانکار,CU,2022-04-20,31/01/1401
1674,عدم امکان تغییر درخواست,CU,2022-04-20,31/01/1401
1675,درخواست تایید خرید,CU,2022-04-20,31/01/1401
1676,عدم امکان ایجاد سابقه,CU,2022-04-20,31/01/1401
1677,کابل انشعاب,CU,2022-04-21,01/02/1401
1678,تایید هزینه انشعاب,CU,2022-04-21,01/02/1401
1679,نصب درخواست,CU,2022-04-21,01/02/1401
1680,عدم ثبت اطلاعات تجهیز,CU,2022-04-21,01/02/1401
1681,ارسال لینک مستقیم,CU,2022-04-21,01/02/1401
1682,خطای ایجاد سابقه,CU,2022-04-21,01/02/1401
1683,شماره درخواست,CU,2022-04-21,01/02/1401
1684,ارسال لینک مستقیم,CU,2022-04-21,01/02/1401
1685,لینک ارسال مستقیم,CU,2022-04-22,02/02/1401
1686,بازگشت هزینه کنتور,CU,2022-04-22,02/02/1401
1687,درخواست معافیت در خرید مستقیم,CU,2022-04-22,02/02/1401
1688,شماره درخواست,CU,2022-04-22,02/02/1401
1689,تغیییر کمیسیون,CU,2022-04-22,02/02/1401
1690,عدم وجود کنتور,CU,2022-04-23,03/02/1401
1691,درخواست معافیت در خرید مستقیم,CU,2022-04-23,03/02/1401
1692,اصلاح فیش ,CU,2022-04-23,03/02/1401
1693,عدم ثبت کد ملی,CU,2022-04-23,03/02/1401
1694,جمع آوری ,CU,2022-04-23,03/02/1401
1695,تغییر نام در درخواست انشعاب,CU,2022-04-23,03/02/1401
1696,عدم وجود کنتور,CU,2022-04-23,03/02/1401
